Frame 0: X=950, Y=95, Radius=19
Frame 0: X=1240, Y=86, Radius=12
Frame 0: X=1402, Y=112, Radius=117
Frame 0: X=1514, Y=72, Radius=9
Frame 0: X=1368, Y=83, Radius=24
Frame 0: X=1256, Y=67, Radius=11
Frame 0: X=1347, Y=68, Radius=11
Frame 0: X=757, Y=111, Radius=55
Frame 0: X=1117, Y=67, Radius=12
Frame 0: X=685, Y=154, Radius=216
Frame 0: X=714, Y=55, Radius=41
Frame 0: X=916, Y=56, Radius=5
Frame 0: X=997, Y=50, Radius=8
Frame 0: X=1685, Y=63, Radius=19
Frame 0: X=1713, Y=56, Radius=14
Frame 0: X=1222, Y=90, Radius=78
Frame 0: X=1162, Y=71, Radius=29
Frame 0: X=1255, Y=50, Radius=10
Frame 0: X=1355, Y=43, Radius=16
Frame 0: X=1310, Y=40, Radius=35
Frame 0: X=1241, Y=31, Radius=12
Frame 0: X=1194, Y=36, Radius=13
Frame 0: X=1164, Y=27, Radius=10
Frame 0: X=1098, Y=72, Radius=79
Frame 0: X=1172, Y=14, Radius=20
Frame 0: X=1208, Y=17, Radius=21
Frame 0: X=1582, Y=48, Radius=48
Frame 0: X=1661, Y=52, Radius=103
Frame 0: X=1542, Y=55, Radius=56
Frame 0: X=1470, Y=31, Radius=32
Frame 0: X=1382, Y=13, Radius=15
Frame 0: X=1383, Y=32, Radius=54
Frame 0: X=1335, Y=14, Radius=17
Frame 0: X=1326, Y=22, Radius=25
Frame 0: X=1132, Y=3, Radius=18
Frame 0: X=1086, Y=22, Radius=22
Frame 0: X=1047, Y=41, Radius=41
Frame 0: X=1004, Y=12, Radius=14
Frame 0: X=983, Y=23, Radius=24
Frame 0: X=959, Y=8, Radius=10
Frame 0: X=992, Y=68, Radius=85
Frame 0: X=1348, Y=108, Radius=430
Frame 0: X=897, Y=13, Radius=13
Frame 0: X=903, Y=24, Radius=29
Frame 0: X=860, Y=24, Radius=24
Frame 0: X=765, Y=23, Radius=23
Frame 0: X=496, Y=25, Radius=25
Frame 1: X=1339, Y=1066, Radius=13
Frame 1: X=285, Y=1059, Radius=19
Frame 1: X=1110, Y=1056, Radius=23
Frame 1: X=110, Y=1050, Radius=28
Frame 1: X=1521, Y=1026, Radius=66
Frame 1: X=1477, Y=1050, Radius=123
Frame 1: X=1387, Y=1012, Radius=27
Frame 1: X=1416, Y=1010, Radius=31
Frame 1: X=1667, Y=991, Radius=15
Frame 1: X=666, Y=1013, Radius=28
Frame 1: X=1673, Y=983, Radius=62
Frame 1: X=1060, Y=977, Radius=16
Frame 1: X=661, Y=1027, Radius=52
Frame 1: X=969, Y=975, Radius=56
Frame 1: X=1661, Y=1020, Radius=98
Frame 1: X=772, Y=1025, Radius=110
Frame 1: X=1365, Y=983, Radius=22
Frame 1: X=980, Y=969, Radius=60
Frame 1: X=468, Y=1019, Radius=60
Frame 1: X=1220, Y=943, Radius=21
Frame 1: X=288, Y=989, Radius=48
Frame 1: X=1586, Y=1001, Radius=69
Frame 1: X=623, Y=944, Radius=68
Frame 1: X=656, Y=940, Radius=46
Frame 1: X=1538, Y=936, Radius=18
Frame 1: X=573, Y=933, Radius=30
Frame 1: X=1371, Y=942, Radius=16
Frame 1: X=113, Y=969, Radius=44
Frame 1: X=1439, Y=928, Radius=18
Frame 1: X=1345, Y=990, Radius=72
Frame 1: X=874, Y=918, Radius=74
Frame 1: X=1176, Y=922, Radius=15
Frame 1: X=314, Y=911, Radius=36
Frame 1: X=353, Y=928, Radius=353
Frame 1: X=877, Y=913, Radius=77
Frame 1: X=1153, Y=906, Radius=16
Frame 1: X=1269, Y=911, Radius=84
Frame 1: X=1114, Y=902, Radius=21
Frame 1: X=202, Y=900, Radius=19
Frame 1: X=565, Y=897, Radius=34
Frame 1: X=1043, Y=903, Radius=46
Frame 1: X=1100, Y=1007, Radius=230
Frame 1: X=570, Y=891, Radius=42
Frame 1: X=911, Y=890, Radius=71
Frame 1: X=775, Y=915, Radius=76
Frame 1: X=280, Y=881, Radius=26
Frame 1: X=766, Y=874, Radius=65
Frame 1: X=595, Y=905, Radius=103
Frame 1: X=554, Y=882, Radius=126
Frame 1: X=471, Y=854, Radius=61
Frame 1: X=377, Y=857, Radius=28
Frame 1: X=1726, Y=840, Radius=11
Frame 1: X=993, Y=954, Radius=773
Frame 1: X=18, Y=824, Radius=18
Frame 1: X=1660, Y=807, Radius=24
Frame 1: X=104, Y=809, Radius=34
Frame 1: X=615, Y=804, Radius=42
Frame 1: X=1435, Y=803, Radius=32
Frame 1: X=1263, Y=794, Radius=109
Frame 1: X=536, Y=809, Radius=28
Frame 1: X=960, Y=777, Radius=73
Frame 1: X=1210, Y=774, Radius=52
Frame 1: X=1624, Y=782, Radius=31
Frame 1: X=1497, Y=771, Radius=30
Frame 1: X=1021, Y=834, Radius=710
Frame 1: X=956, Y=742, Radius=18
Frame 1: X=1265, Y=744, Radius=17
Frame 1: X=1148, Y=753, Radius=29
Frame 1: X=957, Y=741, Radius=34
Frame 1: X=1046, Y=720, Radius=44
Frame 1: X=1180, Y=661, Radius=89
Frame 1: X=626, Y=627, Radius=75
Frame 1: X=865, Y=516, Radius=18
Frame 1: X=894, Y=505, Radius=14
Frame 1: X=876, Y=494, Radius=5
Frame 1: X=829, Y=509, Radius=26
Frame 1: X=882, Y=512, Radius=31
Frame 1: X=817, Y=510, Radius=30
Frame 1: X=844, Y=511, Radius=33
Frame 1: X=807, Y=510, Radius=32
Frame 1: X=860, Y=465, Radius=15
Frame 1: X=1738, Y=485, Radius=36
Frame 1: X=895, Y=463, Radius=19
Frame 1: X=563, Y=473, Radius=33
Frame 1: X=555, Y=473, Radius=33
Frame 1: X=568, Y=472, Radius=33
Frame 1: X=547, Y=472, Radius=33
Frame 1: X=540, Y=472, Radius=33
Frame 1: X=533, Y=472, Radius=33
Frame 1: X=863, Y=442, Radius=10
Frame 1: X=552, Y=473, Radius=60
Frame 1: X=626, Y=482, Radius=61
Frame 1: X=559, Y=423, Radius=21
Frame 1: X=849, Y=423, Radius=9
Frame 1: X=863, Y=422, Radius=11
Frame 1: X=826, Y=438, Radius=26
Frame 1: X=874, Y=443, Radius=33
Frame 1: X=834, Y=443, Radius=33
Frame 1: X=810, Y=442, Radius=32
Frame 1: X=850, Y=477, Radius=90
Frame 1: X=1738, Y=382, Radius=33
Frame 1: X=881, Y=347, Radius=27
Frame 1: X=631, Y=302, Radius=44
